NO,Designator,Quantity,Part Number (MPN),Description,Value,Package,LCSC Part number
1,"C13,C12,C14,C4,C5 ",5,CL10A106KP8NNNC, ,10uF,0603,C19702
2,"C9,C2,C6 ",3,0603X105K500NT, ,1uF,0603,C157684
3,"C11,C10,C8,C1,C3",5,CL10A475KO8NNNC, ,4.7uF,0603,C19666
4,C7 ,1,0603CG101J500NT,100pF (101) ±5% 50V,100pF,0603,C1635
5,C15 ,1,GRM32ER61C476KE15L, ,47uF,1210,C77101
6,D3 ,1,1N5819HW-7-F,Diode Schottky 40V 1A Surface Mount SOD-123,IN5819,SOD-123,C82544
7,"D2,D5,D4 ",3,D-060306R1/SS2/L,Red LED,LED,0603,C118330
8,J9 ,1,U.FL-R-SMT-1(80), ,Conn_Coaxial,SMD,C88374
9,"L2,L1 ",2,SLW4018S2R2MST,FIXED IND 2.2UH 1.7A 55 MOHM SMD,2.2uH-DCR<0.1R-1.5A,4018,C206341
10,"R7,R2,R3 ",3,0603WAF2003T5E, ,200K-1%,0603,C25811
11,R8 ,1,0603WAF2402T5E, ,24K-1%,0603,C23352
12,R9 ,1,CR0603FA3601G, ,3.6K-1%,0603,C100993
13,R5 ,1,RTT05R030FTP,RESISTOR 0805 0.03Ω 1/8W±1%,0R03,0805,C158159
14,"R4,R6,R14,R13 ",4,RTT031001FTP,1KΩ (1001) ±1%,1K,0603,C103198
15,"R1,R10 ",2,0603WAF1003T5E, ,100K-1%,0603,C25803
16,"R11,R12 ",2,WR06X103JTL,RESISTOR 0603 10KΩ,10K,0603,C108450
17,U3 ,1,AXP209,Enhanced single Cell Li-Battery and Power System Management IC,AXP209,6mm x 6mm 48-pin QFN,C80525
18,U4 ,1,SY7208ABC,High Efficiency Boost DC/DC Convertor,LP6226_SY7208,SOT23-6,C80514
19,U5 ,1,SY6280AAC,Power Distribution Switch  1In/1Out  Act-High Enable  1A  Vin 2.4÷5.5V  80mΩ,SY6280,SOT23-5,C55136
