Comment,Designator,Footprint,LCSC
0.1uF,"C1,C21,C26,C27,C5,C6,C8",C_0402_1005Metric,C1525
4.7nF,C9,C_0402_1005Metric,C1538
100pF,"C13,C14,C29,C30",C_0402_1005Metric,C1546
15pF,"C10,C18,C20,C7",C_0402_1005Metric,C1548
1pF,"C15,C16,C31,C32",C_0402_1005Metric,C1550
47pF,"C2,C22",C_0402_1005Metric,C1567
220pF,"C11,C12,C23,C24,C25,C28,C3,C4",C_0402_1005Metric,C16772
56K 1%,"R1,R2",R_0402_1005Metric,C25796
1.5pF,"C19,C34",C_0402_1005Metric,C282238
CC2500,"U1,U2",Texas_S-PVQFN-N20_EP2.4x2.4mm,C57494
1.8pF,"C17,C33",C_0402_1005Metric,C76902
1.2nH,"L1,L2,L3,L4,L5,L6",L_0402_1005Metric,C77117
Crystal_GND24 Cload=10pF 26MHz,"Y1,Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,C91747
