Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C18, C3, C8",0603,6,4.7uF,C19666
"C12, C13, C14, C19, C4, C5",0603,6,10uF,C19702
"C15, C17",1206,2,47uF,C93123
"C16, C2, C6, C9",0603,4,1uF,C15849
"C20, C21, C22, C23, C24",0603,5,100nF,C14663
C7,0603,1,100pF,C14858
D1,LED_Dual_1.7_1.6,1,LED_DUAL_ACCA,C513363
D3,D_SOD-123,1,IN5819,C8598
J5,FPC-Connector_1x10-1MP_P0.5mm_Horizontal,1,Conn_01x10,C388696
"L1, L2",Inductor_SLW4018,2,2.2uH-DCR<0.1R-1.5A,C206341
"R1, R10",0603,2,100K-1%,C25803
"R11, R12",0603,2,10K,C25804
"R13, R14, R6",0603,3,1K,C25585
"R2, R3, R7",0603,3,200K-1%,C25811
"R4, R8",0603,2,24K-1%,C23352
R5,0805,1,0R03,C247605
R9,0603,1,3.6K-1%,C22980
U3,qfn48_6x6mm_Pitch0.4mm,1,AXP209,C2997895
U4,SOT-23-6,1,LP6226_SY7208,C80514
U5,SOT-23-5,1,SY6280,C55136
U8,TSSOP-16_4.4x5mm_P0.65mm,1,SP3232ECY-L,C31142
