Designator,Mid X,Mid Y,Rotation,Layer
C1,26.84,27.83,90.0,top
C10,21.07,16.65,90.0,top
C11,26.61,13.72,90.0,top
C12,11.65,19.37,0.0,top
C13,17.7,19.37,0.0,top
C14,13.5,26.475,180.0,top
C15,0.925,35.7,270.0,top
C16,37.46,43.45,90.0,top
C17,43.06,40.9,270.0,top
C18,37.48,40.23,270.0,top
C19,15.83,22.99,90.0,top
C2,19.88,25.18,180.0,top
C20,30.925,9.025,180.0,top
C21,32.225,3.25,90.0,top
C22,28.1,9.0329,180.0,top
C23,30.95,11.375,270.0,top
C24,25.075,9.0329,270.0,top
C3,22.4,9.525,180.0,top
C4,20.89,20.39,270.0,top
C5,18.74,21.95,270.0,top
C6,21.34,27.42,90.0,top
C7,6.5,2.0,270.0,top
C8,26.94,16.83,90.0,top
C9,24.15,14.94,0.0,top
D1,42.95282,49.55442,0.0,top
D3,16.93,14.41,270.0,top
J5,26.125,59.525,180.0,top
L1,30.0,15.87,270.0,top
L2,13.17,12.61,0.0,top
R1,31.4217,23.2996,180.0,top
R10,10.65,21.84,90.0,top
R11,43.64,44.03,180.0,top
R12,43.9,35.82,180.0,top
R13,42.91726,51.7566,180.0,top
R14,42.9579,45.67838,180.0,top
R2,22.97,27.83,270.0,top
R3,31.4337,21.6601,180.0,top
R4,4.7,2.0,270.0,top
R5,24.14,16.76,180.0,top
R6,42.94774,47.4005,180.0,top
R7,16.34302,17.69863,0.0,top
R8,14.65,19.37,180.0,top
R9,10.65,24.89,90.0,top
U3,25.5702,22.6736,180.0,top
U4,12.879374,16.712944,0.0,top
U5,13.18072,23.62983,180.0,top
U8,28.65,4.2704,180.0,top
