Designator,Mid X,Mid Y,Rotation,Layer
C1,26.84,27.83,90.0,top
C10,22.0218,16.5608,90.0,top
C11,27.4828,13.589,90.0,top
C12,29.718,12.446,180.0,top
C13,35.052,12.446,180.0,top
C14,9.56353,22.93968,270.0,top
C15,0.762,20.447,90.0,top
C16,35.5,40.9,270.0,top
C17,41.56,40.9,270.0,top
C18,36.9,40.9,270.0,top
C19,28.448,30.734,90.0,top
C2,20.7518,26.5938,90.0,top
C20,13.729505,10.6172,180.0,top
C21,14.986505,5.7658,90.0,top
C22,10.9,10.8,180.0,top
C23,13.711334,12.973371,270.0,top
C24,10.109705,13.0556,270.0,top
C25,14.5528,29.5148,180.0,top
C26,12.851,26.5938,90.0,top
C27,18.5152,26.2382,90.0,top
C3,22.4,9.525,180.0,top
C4,21.0566,20.1422,270.0,top
C5,20.7264,23.3172,90.0,top
C6,22.3012,28.0924,90.0,top
C7,6.12,2.0066,270.0,top
C8,27.4066,16.6624,90.0,top
C9,24.4856,14.9352,0.0,top
D1,41.45282,49.55442,0.0,top
J1,1.95,34.505,0.0,bottom
J10,1.95,30.695,180.0,bottom
J2,8.55,60.4,90.0,top
J3,1.95,7.835,180.0,bottom
J4,1.95,14.185,0.0,bottom
J5,1.95,56.095,180.0,bottom
J8,21.25,60.4,90.0,top
L1,30.6324,15.8242,270.0,top
L3,17.018,22.2504,180.0,top
R1,31.4217,23.2996,180.0,top
R10,12.9984,19.9026,180.0,top
R11,42.2,44.1,180.0,top
R12,42.7,36.3,180.0,top
R13,41.41726,51.7566,180.0,top
R14,41.4579,45.67838,180.0,top
R15,17.3976,31.0134,180.0,top
R16,17.3976,29.5148,0.0,top
R2,23.876,29.0576,270.0,top
R3,31.4337,21.6601,180.0,top
R4,3.707,1.2954,0.0,top
R5,24.5618,16.6878,180.0,top
R6,41.44774,47.4005,180.0,top
R7,34.798,24.13,180.0,top
R9,10.0774,19.928,0.0,top
U10,15.4774,26.6391,90.0,top
U3,25.5702,22.6736,180.0,top
U4,33.593,29.464,270.0,top
U5,12.4087,22.6204,270.0,top
U8,11.411334,5.868771,180.0,top
U9,33.02,8.89,270.0,top
Y1,28.002,9.124,270.0,top
