Designator,Mid X,Mid Y,Rotation,Layer
C1,129.9718,-95.2754,180.0,top
C10,130.429,-88.2904,90.0,top
C11,127.0,-98.2726,180.0,top
C12,129.9718,-93.2688,180.0,top
C13,122.682,-94.234,0.0,top
C14,122.682,-95.123,0.0,top
C15,121.158,-93.726,270.0,top
C16,119.634,-94.996,180.0,top
C17,118.11,-96.012,90.0,top
C18,120.523,-88.773,0.0,top
C19,117.094,-96.012,90.0,top
C2,129.9718,-94.2754,180.0,top
C20,118.3132,-90.805,270.0,top
C21,118.5926,-84.709,0.0,top
C22,118.5926,-83.775,0.0,top
C23,121.6914,-80.5942,0.0,top
C24,126.2712,-80.7466,270.0,top
C25,123.3424,-88.2904,180.0,top
C26,125.1712,-80.7466,270.0,top
C27,123.3424,-87.2998,180.0,top
C28,118.575,-85.625,0.0,top
C29,126.1364,-84.455,180.0,top
C3,122.428,-98.125,90.0,top
C30,126.1364,-83.439,180.0,top
C31,127.635,-84.963,90.0,top
C32,129.1336,-83.5098,0.0,top
C33,130.6068,-82.57,270.0,top
C34,131.572,-82.57,270.0,top
C4,125.6792,-90.6526,0.0,top
C5,123.4655,-98.15,90.0,top
C6,125.6792,-91.567,0.0,top
C7,128.2446,-90.3478,180.0,top
C8,129.032,-88.9,135.0,bottom
C9,129.667,-88.265,135.0,bottom
L1,121.158,-95.504,270.0,top
L2,119.634,-93.98,0.0,top
L3,117.602,-94.488,0.0,top
L4,127.635,-83.0072,90.0,top
L5,129.1336,-84.5512,180.0,top
L6,131.108,-83.9978,180.0,top
R1,124.9934,-98.298,180.0,top
R2,123.6472,-80.5942,0.0,top
U1,126.33,-95.088,180.0,top
U2,122.3868,-83.8358,0.0,top
Y1,127.71625,-87.988154,180.0,top
Y2,121.0,-91.1,0.0,top
