Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6, C8",0402,4,100nF,C1525
"C10, C18, C20, C7",0402,4,15pF,C1548
"C11, C12, C23, C24, C25, C28, C3, C4",0402,8,220pF,C16772
"C13, C14, C29, C30",0402,4,100pF,C1546
"C15, C16, C31, C32",0402,4,1pF,C1550
"C17, C33",0402,2,1.8pF,C76902
"C19, C34",0402,2,1.5pF,C282238
"C2, C22",0402,2,47pF,C1567
"C21, C26, C27",0402,3,0.1uF,C1525
C9,0402,1,4.7nF,C1538
J2,PinSocket_1x06_P1.27mm_Vertical,1,Conn_01x06,
J3,PinSocket_1x04_P1.27mm_Vertical,1,Conn_01x04,
"L1, L2, L3, L4, L5, L6",0402,6,1.2nH,C77117
"R1, R2",0402,2,56K 1%,C25796
"U1, U2",Texas_S-PVQFN-N20_EP2.4x2.4mm,2,CC2500,C57494
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,Crystal_GND24 Cload=10pF 26MHz,C91747
