Comment,Designator,Footprint,LCSC
LN1134A332MR-G,U2,SOT-23-5,C141419
1uF,"C1,C2,C3",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
2K,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17604
470,"R1,R5,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710
10uF,"C13,C14,C4,C8,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19702
2.2uH-DCR<0.1R-1.5A,L1,Inductor_SLW4018,C206341
24K-1%,"R3,R7,R8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C23352
200K-1%,R2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C25811
SW_Push,"SW4,SW5",SW_SPST_TL3342,C318884
SW_SPDT,SW1,SW_SPDT_PCM12,C319019
USB_B_Micro,J1,USB_Micro-B_Horizontal,C397452
0.1uF/50V(10%),C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
LED_DUAL_ACCA,D2,LED_Dual_1.7_1.6,C513363
LP4054HB5F,U4,SOT-23-5,C517187
LP6226_SY7208,U1,TSOT-23-6_HandSoldering,C80514
IN5819,D1,D_SOD-123,C8597
