Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.236,-73.152,0.0,top
C2,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.128,-56.388,90.0,top
C3,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.0452,-78.80956,-90.0,top
C4,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.03,-59.436,90.0,top
C8,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.87328,-91.92652,90.0,top
C9,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.60964,-91.9316,-90.0,top
C12,0.1uF/50V(10%),C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.048,-67.818,0.0,top
C13,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.492,-64.77,90.0,top
C14,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.158,-65.786,180.0,top
D1,IN5819,D_SOD-123,114.3,-62.992,0.0,top
D2,LED_DUAL_ACCA,LED_Dual_1.7_1.6,120.752,-92.22,90.0,top
J1,USB_B_Micro,USB_Micro-B_Horizontal,107.52064,-55.93268,-90.0,top
J2,Conn_02x03_Odd_Even,IDC-Header_2x03_P1.27mm_Vertical_SMD,128.432,-59.436,0.0,top
J4,Conn_02x05_Odd_Even,IDC-Header_2x05_P1.27mm_Vertical_SMD,133.096,-99.314,180.0,top
L1,2.2uH-DCR<0.1R-1.5A,Inductor_SLW4018,119.5,-58.674,180.0,top
R1,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.65,-87.884,180.0,top
R2,200K-1%,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.538,-65.786,180.0,top
R3,24K-1%,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.348,-65.786,180.0,top
R4,2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113.73104,-84.27096,90.0,top
R5,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.856,-91.456,-90.0,top
R6,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.824,-88.392,0.0,top
R7,24K-1%,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.334,-46.99,180.0,top
R8,24K-1%,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.572,-88.646,0.0,top
SW1,SW_SPDT,SW_SPDT_PCM12,107.4166,-65.69836,-90.0,top
SW4,SW_Push,SW_SPST_TL3342,131.826,-42.672,0.0,top
SW5,SW_Push,SW_SPST_TL3342,131.826,-51.308,0.0,top
U1,LP6226_SY7208,TSOT-23-6_HandSoldering,120.396,-62.992,0.0,top
U2,LN1134A332MR-G,SOT-23-5,110.048,-76.624,-90.0,top
U4,LP4054HB5F,SOT-23-5,110.68812,-88.06064,0.0,top
