Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_2.56,1,Battery_Cell,
"C1, C2, C3",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,3,1uF,
C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF/50V(10%),
"C13, C14, C4, C8, C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,5,10uF,
D1,D_SOD-123,1,IN5819,
D2,LED_Dual_1.7_1.6,1,LED_DUAL_ACCA,
J1,USB_Micro-B_Horizontal,1,USB_B_Micro,
J2,IDC-Header_2x03_P1.27mm_Vertical_SMD,1,Conn_02x03_Odd_Even,
J3,USB_A_CONNFLY_DS1095-WNR0,1,USB_A,
J4,IDC-Header_2x05_P1.27mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
L1,Inductor_SLW4018,1,2.2uH-DCR<0.1R-1.5A,
"R1, R5, R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,470,
R2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,200K-1%,
"R3, R7, R8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,3,24K-1%,
R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,2K,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
"SW4, SW5",SW_SPST_TL3342,2,SW_Push,
U1,TSOT-23-6_HandSoldering,1,LP6226_SY7208,
U2,SOT-23-5,1,LN1134A332MR-G,
U4,SOT-23-5,1,LP4054HB5F,
U5,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,
U6,HC-02,1,HC-02,
