Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C18, C3, C8",0402,6,4.7uF,C19666
C12,0402,1,22pF,C1555
"C13, C16, C19, C2, C25, C6, C9",0402,7,1uF,C15849
"C14, C4, C5",0402,3,10uF,C19702
"C15, C17",1206,2,47uF,C96123
"C26, C27",0402,2,22uF,C84419
"C28, C29, C31, C32, C35, C37, C39, C42, C43, C45, C49, C50, C51, C55, C56, C57, C60, C61, C62, C63, C67, C68, C71, C74, C78, C80, C84, C85, C87, C88",0402,30,100nF,
"C30, C64, C89, C90, C91, C92, C93, C95, C96",0402,9,10uF/6.3V,
"C33, C34, C36, C47, C48, C53, C54, C58, C59, C66, C69, C73, C76, C77, C81, C82, C83, C86",0402,18,1uF,
"C38, C44",0402,2,4.7uF,
"C40, C41",0402,2,18pF,
"C46, C52, C65, C70, C72, C75, C79",0402,7,10uF,
C7,0402,1,100pF,C14858
C94,0402,1,22pF,
"D1, D2",LED_Dual_1.7_1.6,2,LED_DUAL_ACCA,C513363
J1,PinHeader_2x05_P1.27mm_Vertical,1,Conn_02x05_Odd_Even,
"J10, J4",PinSocket_1x09_P1.27mm_Vertical,2,Conn_01x09_Socket,
J3,TF-SMD_TF-018B-H15,1,Micro_SD_Card_Det1,
J5,PinSocket_1x04_P1.27mm_Vertical,1,Conn_01x04_Socket,
L1,Inductor_SLW4018,1,2.2uH-DCR<0.1R-1.5A,C206341
"L2, L4, L5",1008,3,DFE252010P-2R2M=P2,
L3,Inductor_SLW4018,1,1.5uH,C206395
L6,1008,1,DFE252010P-1R0M=P2,
Q1,SOT-323_SC-70,1,L2N7002WT1G,
"R1, R10",0402,2,100K-1%,C25803
"R11, R12",0402,2,10K,C25804
"R13, R14, R39, R40, R41, R6",0402,6,1K,C21190
R15,0402,1,470kOhm,C23178
R16,0402,1,140kOhm,C321721
"R17, R2, R3, R7, R8",0402,5,200K-1%,C25811
"R18, R20, R21",0402,3,240R/1%,
"R19, R43",0402,2,0R,
R22,0402,1,33R,
"R23, R24, R27",0402,3,47K,
R25,0402,1,"4,7K",
"R26, R29, R30, R31, R32, R33, R35, R42, R46, R55",0402,10,10K,
R28,0402,1,100K,
R34,0402,1,22R,
"R36, R37",0402,2,2K/1%,
R38,0402,1,100R,
R4,0402,1,24K-1%,C23352
"R44, R47, R48, R50",0402,4,10K/1%,
R45,0402,1,15K/1%,
R49,0402,1,2R/1%,
R5,0805,1,0R03,C247605
R51,0402,1,6.8K/1%,
"R52, R54",0402,2,30K/1%,
R53,0402,1,12K/1%,
R9,0402,1,3.6K-1%,C22980
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8",0402,8,AVRL101A1R1NTB,
U10,TSOT-23-6,1,~,C207630
U11,BGA-347_21x21_14.0x14.0mm,1,~,
U12,BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm,1,~,
U13,SOT-23-3,1,SGM803-RXN3L,
U14,MICRON_EMMC_153,1,KLM8G1WEPD-B031,
"U15, U16, U17",TSOT-23-5,3,RT8059,
U18,TSOT-23-8-Thinner-Pads,1,MP2143DJ,
U19,ESP32Hosted-C6-Board,1,ESP32-C6-Board,
U3,qfn48_6x6mm_Pitch0.4mm,1,AXP209,C2997895
U4,SOIC-14_3.9x8.7mm_P1.27mm,1,74LS73,C350539
U5,SOT-23-5,1,SY6280,C55136
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8563T,C7440
Y1,SMD3215-2P,1,32.768kHz,C32346
Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,24MHz/18pF,
