Designator,Mid X,Mid Y,Rotation,Layer
C1,14.6536,4.7198,0.0,top
C10,4.7786,12.1682,0.0,top
C11,3.9786,6.8698,180.0,top
C12,38.85,40.05,180.0,top
C13,40.65,40.05,180.0,top
C14,7.34,21.85,0.0,top
C15,0.15,20.45,90.0,top
C16,35.75,41.35,270.0,top
C17,36.25,44.7,270.0,top
C18,36.7,41.35,270.0,top
C19,42.55,40.05,180.0,top
C2,13.0,13.62,0.0,top
C25,12.1,17.48,90.0,top
C26,9.49,19.51,0.0,top
C27,8.48,14.59,0.0,top
C28,20.402564,1.948225,270.0,top
C29,18.412564,1.978225,270.0,top
C3,3.2186,12.3648,90.0,top
C30,36.7,23.9,0.0,top
C31,28.216049,34.3745,90.0,top
C32,41.1,17.7,90.0,top
C33,42.0,17.7,90.0,top
C34,37.5,1.8,270.0,top
C35,36.6,1.8,270.0,top
C36,18.556049,31.6845,0.0,top
C37,31.54,24.13,180.0,bottom
C38,29.05,28.05,90.0,bottom
C39,22.546049,34.3345,270.0,top
C4,7.34,12.89,180.0,top
C40,29.5,34.25,270.0,top
C41,34.1,35.0,90.0,top
C42,12.71,32.05,0.0,top
C43,15.68,29.33,90.0,top
C44,27.296049,34.3745,90.0,top
C45,29.886049,30.0445,90.0,bottom
C46,29.692564,1.948225,270.0,top
C47,17.282564,1.948225,270.0,top
C48,25.952564,1.948225,270.0,top
C49,30.682564,1.948225,270.0,top
C5,11.15,13.3,0.0,top
C50,31.692564,1.958225,270.0,top
C51,26.862564,1.948225,270.0,top
C52,32.672564,1.968225,270.0,top
C53,25.032564,1.948225,270.0,top
C54,28.682564,1.948225,270.0,top
C55,21.822564,3.317985,0.0,top
C56,34.542564,1.968225,270.0,top
C57,33.592564,1.968225,270.0,top
C58,27.772564,1.948225,270.0,top
C59,22.242564,1.948225,270.0,top
C6,14.8,13.15,0.0,top
C60,24.986049,23.0245,90.0,bottom
C61,27.775,22.1,180.0,bottom
C62,21.322564,1.948225,270.0,top
C63,18.982564,3.317985,180.0,top
C64,8.235,23.5025,180.0,top
C65,6.405,23.5125,0.0,top
C66,25.376049,34.3445,90.0,top
C67,26.386049,34.3745,90.0,top
C68,28.486049,30.9245,90.0,bottom
C69,30.025,25.775,0.0,bottom
C7,0.03,8.68,270.0,top
C70,27.486049,30.1445,90.0,bottom
C71,17.8,30.7,180.0,top
C72,25.946049,27.6645,180.0,bottom
C73,24.916049,29.8845,90.0,bottom
C74,24.026049,29.8745,90.0,bottom
C75,25.936049,28.6545,180.0,bottom
C76,22.976049,27.6545,0.0,bottom
C77,22.976049,28.6545,0.0,bottom
C78,24.486049,26.6845,270.0,bottom
C79,26.046049,24.825,0.0,bottom
C8,5.6786,7.1198,90.0,top
C80,35.7,1.8,270.0,top
C81,28.05,27.1,90.0,bottom
C82,29.17,23.65,180.0,bottom
C83,29.15,24.6845,180.0,bottom
C84,27.6,23.83,270.0,bottom
C85,26.05,25.775,0.0,bottom
C86,38.4,1.8,270.0,top
C87,44.8,17.7,90.0,top
C88,43.9,17.7,90.0,top
C89,8.47,29.38,180.0,top
C9,3.2286,10.1198,270.0,top
C90,6.64,29.36,0.0,top
C91,11.11,25.815,0.0,top
C92,12.94,25.815,180.0,top
C93,13.02,20.87,90.0,top
C94,18.5,22.4,270.0,top
C95,15.62,15.11,180.0,top
C96,17.43,15.11,0.0,top
D1,43.2,52.5,90.0,top
D2,7.54,35.83,270.0,top
J1,2.74,49.625,90.0,top
J10,1.975,29.43,0.0,bottom
J2,10.45,62.825,90.0,top
J3,41.5,24.65,270.0,top
J4,1.975,11.65,0.0,bottom
J5,1.975,54.195,0.0,bottom
J8,24.425,62.825,90.0,top
L1,4.7286,3.5698,180.0,top
L2,4.145,24.95,270.0,top
L3,5.14,16.16,90.0,top
L4,4.38,30.4,270.0,top
L5,15.19,25.315,90.0,top
L6,15.9,16.98,0.0,top
Q1,15.9,33.5,90.0,top
R1,12.45,3.6,180.0,top
R10,2.49,19.44,90.0,top
R11,41.8,57.45,0.0,top
R12,41.8,58.45,0.0,top
R13,42.53,55.3,90.0,top
R14,44.43,55.3,90.0,top
R15,13.0658,15.61,90.0,top
R16,12.09,15.61,270.0,top
R17,37.15,48.25,90.0,top
R18,18.57,25.83,180.0,top
R19,18.576049,27.0345,180.0,top
R2,14.9,11.55,180.0,top
R20,23.172564,1.968225,90.0,top
R21,24.112564,1.968225,90.0,top
R22,36.7,25.1,0.0,top
R23,42.8,31.7,90.0,top
R24,43.77,31.7,90.0,top
R25,31.99,-1.42,90.0,top
R26,39.6,1.8,90.0,top
R27,18.576049,28.8945,0.0,top
R28,18.576049,29.8345,0.0,top
R29,12.72,33.06,180.0,top
R3,10.55,3.6,180.0,top
R30,21.6,34.35,90.0,top
R31,24.416049,34.3445,90.0,top
R32,18.576049,27.9645,180.0,top
R33,36.7,29.2,0.0,top
R34,42.95,17.7,270.0,top
R35,35.7,21.975,0.0,top
R36,16.982564,3.287985,0.0,top
R37,19.472564,1.968225,270.0,top
R38,24.842564,3.297985,180.0,top
R39,9.84,34.87,0.0,top
R4,0.04,6.88,90.0,top
R40,4.8,35.21,90.0,top
R41,5.84,35.21,90.0,top
R42,4.49,27.39,0.0,top
R43,23.476049,34.3445,90.0,top
R44,8.685,27.7825,180.0,top
R45,10.085,27.3225,270.0,top
R46,4.79,32.9,0.0,top
R47,9.8,33.85,180.0,top
R48,10.4,32.38,270.0,top
R49,18.55,32.6,0.0,top
R5,4.7178,9.8198,90.0,top
R50,18.4,20.4,270.0,top
R51,10.67,21.405,0.0,top
R52,9.22,21.875,90.0,top
R53,14.81,22.32,0.0,top
R54,16.75,22.28,180.0,top
R55,16.16,27.86,180.0,top
R6,43.48,55.3,90.0,top
R7,44.35,40.05,180.0,top
R8,7.75,3.7,90.0,top
R9,2.5,21.402,90.0,top
RV1,37.15,22.0,270.0,top
RV2,41.8,31.7,270.0,top
RV3,44.75,31.7,90.0,top
RV4,38.415,30.06,90.0,top
RV5,36.665,27.39,180.0,top
RV6,36.7,26.25,180.0,top
RV7,39.6,17.25,0.0,top
RV8,39.6,18.2,0.0,top
U10,9.5319,17.3196,180.0,top
U11,27.046049,25.5395,270.0,top
U12,25.452804,9.283064,270.0,top
U13,13.29,29.4375,90.0,top
U14,39.35,9.65,0.0,top
U15,7.5825,25.6425,180.0,top
U16,7.8275,31.64,180.0,top
U17,11.7825,23.66,0.0,top
U18,15.62,20.08,180.0,top
U19,8.4823,9.27,90.0,top
U3,10.7036,8.6198,90.0,top
U4,41.635,45.651,180.0,top
U5,4.660149,20.53565,0.0,top
U7,17.43,-2.2,90.0,top
U9,41.623,36.819,180.0,top
Y1,36.7,38.2,270.0,top
Y2,31.8,34.8,0.0,top
